City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,tidore,2.7739,27.616,292.09,95,87,1.04,CD,1668369720
322,tidore,51.929,22.3796,280.33,87,84,1.63,PL,1668369721
323,tidore,4.8845,-1.7554,299.33,81,100,2.71,GH,1668369721
324,tidore,69.3833,178.4167,249.75,98,98,1.76,RU,1668369721
325,tidore,-20.7377,116.8463,296.73,49,0,0.8,AU,1668369722
326,tidore,-1.195,-46.02,301.07,70,45,4.26,BR,1668369723
327,tidore,37.2687,28.2167,282.44,44,5,1.51,TR,1668369723
328,tidore,37.7167,-25.4333,289.38,77,100,3.14,PT,1668369724
329,tidore,-26.8241,-65.2226,294.15,68,75,2.06,AR,1668369543
330,tidore,18.217,-63.0578,301.94,78,13,7.35,AI,1668369726
331,tidore,4.9247,6.2642,297.9,91,96,2.22,NG,1668369726
332,tidore,71.9167,114.0833,251.78,95,100,5.2,RU,1668369727
333,tidore,44.3835,-64.3155,282.04,87,100,7.05,CA,1668369728
334,tidore,-5.795,-35.2094,300.51,74,75,6.17,BR,1668369530
335,tidore,26.1842,127.7558,295.75,78,40,7.72,JP,1668369728
336,tidore,21.4612,-71.1419,300.16,74,72,2.69,TC,1668369729
337,tidore,35.4333,132.8167,285.83,74,90,3.6,JP,1668369730
338,tidore,-0.4139,-65.0192,303.32,66,99,0.9,BR,1668369731
339,tidore,12.15,-68.2667,300.54,78,100,4.1,BQ,1668369679
340,tidore,37.0778,41.2178,287.59,35,0,2.24,TR,1668369731
341,tidore,49.7834,-74.8492,267.56,83,100,2.56,CA,1668369732
342,tidore,-23.865,35.3833,298.33,87,100,2.44,MZ,1668369733
343,tidore,65.282,-126.8329,265.28,88,12,1.47,CA,1668369734
344,tidore,22.8909,-109.9124,301.27,65,70,4.21,MX,1668369477
345,tidore,5.3833,-52.95,299.67,83,100,5.3,GF,1668369735
346,tidore,58.006,39.1772,274.41,69,100,6.68,RU,1668369735
347,tidore,41.6336,46.6433,282.65,51,16,1.93,AZ,1668369735
348,tidore,38.7992,-9.4469,292.46,99,40,5.81,PT,1668369622
349,tidore,33.194,-82.5271,287.9,30,5,4.66,US,1668369736
350,tidore,60.8697,60.4153,259.51,92,100,4.83,RU,1668369736
351,tidore,-8.4189,-37.0539,299.79,56,93,3.66,BR,1668369737
352,tidore,32.8333,66.0,280.31,82,30,2.29,AF,1668369737
353,tidore,40.6103,115.0447,274.98,49,2,1.79,CN,1668369737
354,tidore,-28.7667,114.6,285.38,82,4,3.6,AU,1668369738
355,tidore,36.7741,30.7178,290.42,40,0,3.09,TR,1668369495
356,tidore,44.1003,-70.2148,282.77,96,100,0.45,US,1668369604
357,tidore,31.6315,-8.0083,297.19,23,20,1.03,MA,1668369738
358,tidore,56.45,138.1667,267.55,54,4,2.61,RU,1668369739
359,tidore,14.9215,-23.5087,297.74,78,87,6.41,CV,1668369619
360,tidore,52.6482,19.0678,280.89,90,81,2.97,PL,1668369468
361,tidore,29.9697,40.2064,293.91,74,74,6.01,SA,1668369739
362,tidore,17.4842,73.1929,296.82,60,10,2.75,IN,1668369740
363,tidore,41.3712,-73.414,284.57,60,64,4.02,US,1668369740
364,tidore,65.5833,-171.0,263.23,74,1,2.6,RU,1668369741
365,tidore,9.1769,105.15,297.6,95,100,2.8,VN,1668369741
366,tidore,48.25,21.4333,278.87,83,0,1.17,HU,1668369741
367,tidore,32.2994,-9.2372,293.65,65,100,2.38,MA,1668369742
368,tidore,16.8634,-99.8901,301.65,74,15,1.85,MX,1668369742
369,tidore,55.9333,158.7,254.84,97,50,2.28,RU,1668369742
370,tidore,22.3384,90.7419,294.67,65,5,4.36,BD,1668369743
371,tidore,6.7533,-11.3686,299.22,82,100,2.45,LR,1668369743
372,tidore,-20.3297,-40.2925,299.23,86,96,8.05,BR,1668369743
373,tidore,59.3736,41.0305,271.95,73,96,6.21,RU,1668369744
374,tidore,8.7842,117.4231,298.66,83,83,0.73,PH,1668369744
375,tidore,18.355,-71.1585,303.99,74,40,6.69,DO,1668369744
